,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
0,0.0,1.0,1.0,81.0,36.0,41.0,29.0,12.0,5.0,3.0,1.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2.0,1.0,81.0,27.0,16.0,19.0,0.0,5.0,13.0,4.0,8.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,3.0,1.0,56.0,42.0,32.0,62.0,18.0,6.0,9.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,4.0,1.0,79.0,49.0,22.0,58.0,0.0,2.0,14.0,7.0,3.0,4.0,3.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,5.0,1.0,106.0,22.0,14.0,26.0,0.0,3.0,2.0,3.0,1.0,8.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,6.0,1.0,106.0,55.0,45.0,28.0,8.0,3.0,1.0,3.0,5.0,12.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1.0,2.0,106.0,33.0,41.0,39.0,9.0,8.0,4.0,3.0,1.0,2.0,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,2.0,2.0,100.0,16.0,27.0,11.0,11.0,1.0,0.0,2.0,6.0,1.0,14.0,26.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,3.0,2.0,83.0,56.0,35.0,58.0,0.0,3.0,10.0,6.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,4.0,2.0,69.0,51.0,22.0,65.0,0.0,5.0,4.0,17.0,5.0,40.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,5.0,2.0,112.0,30.0,27.0,33.0,0.0,3.0,7.0,13.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,6.0,2.0,86.0,49.0,25.0,70.0,0.0,3.0,0.0,3.0,3.0,18.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,7.0,2.0,73.0,40.0,32.0,22.0,46.0,0.0,4.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,8.0,2.0,110.0,26.0,30.0,42.0,52.0,4.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,9.0,2.0,80.0,53.0,38.0,34.0,0.0,2.0,6.0,13.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,10.0,2.0,90.0,27.0,17.0,43.0,0.0,5.0,10.0,9.0,12.0,15.0,8.0,3.0,9.0,10.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,11.0,2.0,79.0,31.0,18.0,26.0,0.0,10.0,1.0,1.0,0.0,2.0,12.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,12.0,2.0,124.0,55.0,57.0,60.0,0.0,4.0,3.0,5.0,2.0,13.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,13.0,2.0,92.0,50.0,27.0,38.0,0.0,3.0,9.0,5.0,8.0,7.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,14.0,2.0,101.0,33.0,28.0,25.0,0.0,2.0,5.0,3.0,8.0,13.0,6.0,8.0,10.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,15.0,2.0,76.0,22.0,26.0,12.0,55.0,1.0,0.0,5.0,4.0,2.0,15.0,0.0,9.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,16.0,2.0,48.0,17.0,24.0,19.0,16.0,0.0,2.0,4.0,5.0,4.0,5.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,17.0,2.0,59.0,35.0,20.0,53.0,0.0,5.0,3.0,4.0,4.0,7.0,0.0,4.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,18.0,2.0,78.0,18.0,21.0,23.0,0.0,7.0,1.0,4.0,5.0,10.0,1.0,13.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,19.0,2.0,87.0,22.0,26.0,45.0,5.0,3.0,7.0,12.0,14.0,3.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,20.0,2.0,50.0,20.0,15.0,71.0,0.0,6.0,6.0,7.0,6.0,7.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
