,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
0,0,1,1,0,1,81,36,41,29,12,5,3,1,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,81,27,16,19,0,5,13,4,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,1,0,0,56,42,32,62,18,6,9,5,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,3,4,1,0,0,79,49,22,58,0,2,14,7,3,4,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0
4,4,5,1,0,0,106,22,14,26,0,3,2,3,1,8,12,0,0,0,15,0,0,0,0,0,0,0,0,0,0
5,5,6,1,0,0,106,55,45,28,8,3,1,3,5,12,14,7,0,0,0,1,0,0,0,0,0,0,0,0,0
6,6,1,2,0,1,106,33,41,39,9,8,4,3,1,2,6,0,8,0,1,0,0,0,0,0,0,0,0,0,0
7,7,2,2,3,0,100,16,27,11,11,1,0,2,6,1,14,26,0,1,9,0,0,0,0,0,0,0,0,0,0
8,8,3,2,0,0,83,56,35,58,0,3,10,6,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,4,2,0,0,69,51,22,65,0,5,4,17,5,40,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0
10,10,5,2,0,0,112,30,27,33,0,3,7,13,2,1,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0
11,11,6,2,0,0,86,49,25,70,0,3,0,3,3,18,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
12,12,7,2,0,0,73,40,32,22,46,0,4,0,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,13,8,2,0,0,110,26,30,42,52,4,5,5,4,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
14,14,9,2,0,0,80,53,38,34,0,2,6,13,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,15,10,2,1,0,90,27,17,43,0,5,10,9,12,15,8,3,9,10,11,0,4,0,0,0,0,0,0,0,0
16,16,11,2,0,0,79,31,18,26,0,10,1,1,0,2,12,0,4,3,3,0,1,0,0,0,0,0,0,0,0
17,17,12,2,1,0,124,55,57,60,0,4,3,5,2,13,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0
