,_cumulative_episode,_episode,_season,twss_count,first_episode,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,last_episode,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
0,0.0,1.0,1.0,0.0,1.0,1598.0,335.0,295.0,296.0,143.0,33.0,23.0,10.0,4.0,54.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2.0,1.0,0.0,0.0,1740.0,366.0,113.0,185.0,0.0,23.0,70.0,4.0,75.0,32.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,3.0,1.0,0.0,0.0,1090.0,342.0,218.0,782.0,142.0,50.0,53.0,26.0,35.0,11.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,4.0,1.0,0.0,0.0,1485.0,588.0,236.0,609.0,0.0,9.0,98.0,35.0,6.0,12.0,32.0,14.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,5.0,1.0,0.0,0.0,1874.0,219.0,139.0,147.0,0.0,10.0,16.0,31.0,7.0,40.0,77.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,6.0,1.0,0.0,0.0,1529.0,536.0,221.0,243.0,71.0,22.0,4.0,18.0,24.0,63.0,98.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,1.0,2.0,0.0,1.0,1787.0,292.0,355.0,375.0,106.0,88.0,73.0,22.0,10.0,27.0,39.0,0.0,53.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,2.0,2.0,3.0,0.0,1596.0,169.0,235.0,76.0,104.0,17.0,0.0,24.0,25.0,6.0,71.0,255.0,0.0,5.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,3.0,2.0,0.0,0.0,1054.0,515.0,235.0,590.0,0.0,27.0,37.0,56.0,50.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,4.0,2.0,0.0,0.0,982.0,451.0,183.0,670.0,0.0,28.0,26.0,71.0,28.0,252.0,58.0,0.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
